State ,City,Location,Month,Nitrogen,Phosphorous,Potassium,Temperature,Humidity,Ph,RainFall,CropType
Georgia,Macon,32°49′N 83°41′W / 32.81°N 83.69°W,January,67,58,56,64.17899231,67,7,91.9,pomegranate
Colorado,Lakewood,39°42′N 105°07′W / 39.70°N 105.12°W,January,71,68,65,59.22881789,71,8,67.5,kidneybeans
Texas,Killeen,31°05′N 97°44′W / 31.08°N 97.73°W,January,84,44,76,78.06456074,83,3,42.5,cotton
Massachusetts,Springfield,42°07′N 72°32′W / 42.12°N 72.54°W,January,80,56,85,55.73796236,75,6,47.2,grapes
Virginia,Alexandria,38°49′N 77°05′W / 38.82°N 77.08°W,January,81,52,55,51.80065788,80,7,58.8,jute
Kansas,Kansas City,39°07′N 94°44′W / 39.12°N 94.74°W,January,92,55,83,65.92716522,67,3,102.9,mango
California,Sunnyvale,37°23′N 122°02′W / 37.39°N 122.03°W,January,74,66,70,48.38476629,85,6,149.8,grapes
Florida,Hollywood,26°02′N 80°10′W / 26.03°N 80.16°W,January,90,49,66,55.30188175,75,6,44,mango
California,Roseville,38°46′N 121°19′W / 38.77°N 121.32°W,January,70,79,51,61.27771341,68,4,76.2,watermelon
South Carolina,Charleston,32°50′N 79°58′W / 32.83°N 79.97°W,January,84,70,56,58.69233691,72,7,57.3,banana
California,Escondido,33°08′N 117°04′W / 33.13°N 117.07°W,January,77,56,50,78.42565929,71,3,71.1,orange
Illinois,Joliet,41°31′N 88°09′W / 41.52°N 88.15°W,January,76,41,41,63.27423126,71,3,147.5,watermelon
Mississippi,Jackson,32°19′N 90°13′W / 32.32°N 90.21°W,January,69,83,81,70.61001343,80,5,115.2,maize
Washington,Bellevue,47°36′N 122°10′W / 47.60°N 122.16°W,January,92,63,73,45.34626521,72,8,123.8,kidneybeans
Arizona,Surprise,33°40′N 112°27′W / 33.67°N 112.45°W,January,84,60,62,62.12968485,67,5,106.6,lentil
Illinois,Naperville,41°45′N 88°10′W / 41.75°N 88.16°W,January,74,69,40,47.45203118,70,6,92,maize
Texas,Pasadena,29°39′N 95°09′W / 29.65°N 95.15°W,January,83,45,85,79.44533429,81,7,121.1,rice
California,Pomona,34°04′N 117°46′W / 34.06°N 117.76°W,January,73,44,70,52.11308804,70,4,95.5,apple
Connecticut,Bridgeport,41°11′N 73°12′W / 41.19°N 73.20°W,January,90,70,50,49.36334397,79,3,98.6,pomegranate
Texas,Denton,33°13′N 97°08′W / 33.22°N 97.14°W,January,90,58,58,66.01733467,71,5,86.3,pomegranate
Illinois,Rockford,42°16′N 89°04′W / 42.26°N 89.06°W,January,75,57,40,46.8925241,72,7,99.2,banana
Texas,Mesquite,32°46′N 96°35′W / 32.76°N 96.59°W,January,72,41,80,58.46619749,85,6,139.2,lentil
Georgia,Savannah,32°00′N 81°09′W / 32.00°N 81.15°W,January,76,78,57,62.83938093,66,4,113.7,chickpea
New York,Syracuse,43°02′N 76°08′W / 43.04°N 76.14°W,January,90,76,64,45.51040773,74,6,100.3,kidneybeans
Texas,McAllen,26°13′N 98°15′W / 26.22°N 98.25°W,January,72,83,50,47.08109336,79,8,100.4,blackgram
California,Torrance,33°50′N 118°22′W / 33.83°N 118.36°W,January,69,80,59,45.12051527,81,5,139.3,grapes
Kansas,Olathe,38°53′N 94°49′W / 38.88°N 94.82°W,January,87,67,44,66.08601633,80,8,137.7,watermelon
California,Visalia,36°20′N 119°20′W / 36.33°N 119.33°W,January,65,54,48,71.20361581,78,5,86.8,chickpea
Colorado,Thornton,39°55′N 104°56′W / 39.92°N 104.94°W,January,71,70,40,72.2456215,79,7,66.2,mango
California,Fullerton,33°53′N 117°56′W / 33.89°N 117.93°W,January,68,59,40,63.62509398,68,4,137.5,pigeonpeas
Florida,Gainesville,29°41′N 82°21′W / 29.68°N 82.35°W,January,73,49,41,68.64394756,83,5,137.2,chickpea
Texas,Waco,31°34′N 97°11′W / 31.56°N 97.19°W,January,66,57,46,78.20966824,85,6,65.5,lentil
Utah,West Valley City,40°41′N 112°01′W / 40.69°N 112.01°W,January,69,77,61,67.2940764,68,3,131.8,banana
Michigan,Warren,42°29′N 83°02′W / 42.49°N 83.03°W,January,71,40,81,72.85356293,69,8,142.7,chickpea
New Jersey,Lakewood,40°05′N 74°12′W / 40.08°N 74.20°W,January,85,56,54,53.20108127,80,6,73.7,papaya
Virginia,Hampton,37°03′N 76°18′W / 37.05°N 76.30°W,January,80,47,80,54.01718564,74,6,72.4,jute
Ohio,Dayton,39°47′N 84°12′W / 39.78°N 84.20°W,January,71,68,65,53.78732746,65,3,130.8,mango
South Carolina,Columbia,34°02′N 80°55′W / 34.04°N 80.91°W,January,89,65,61,51.51008752,76,3,96.7,mothbeans
California,Orange,33°47′N 117°52′W / 33.79°N 117.86°W,January,86,43,45,52.52536762,74,7,116.9,mungbean
Iowa,Cedar Rapids,41°58′N 91°41′W / 41.97°N 91.68°W,January,72,79,85,47.2121907,84,3,121.4,banana
Connecticut,Stamford,41°05′N 73°33′W / 41.08°N 73.55°W,January,69,65,62,58.41276678,81,4,100.9,mothbeans
California,Victorville,34°32′N 117°21′W / 34.53°N 117.35°W,January,74,53,49,76.55982393,69,8,98,blackgram
California,Pasadena,34°10′N 118°08′W / 34.16°N 118.14°W,January,84,51,77,75.2857598,78,3,104.5,cotton
New Jersey,Elizabeth,40°40′N 74°11′W / 40.67°N 74.19°W,January,79,57,44,46.19539994,71,5,63.8,mungbean
Connecticut,New Haven,41°19′N 72°55′W / 41.31°N 72.92°W,January,69,83,63,50.24464872,71,3,104.5,kidneybeans
Florida,Miramar,25°58′N 80°20′W / 25.97°N 80.34°W,January,81,55,65,67.09603751,85,3,105,watermelon
Washington,Kent,47°23′N 122°13′W / 47.39°N 122.21°W,January,72,77,68,63.75543699,65,7,144.2,mango
Michigan,Sterling Heights,42°35′N 83°02′W / 42.58°N 83.03°W,January,69,63,57,45.232531,83,6,98.9,kidneybeans
Texas,Carrollton,32°59′N 96°54′W / 32.99°N 96.90°W,January,86,44,52,62.72489746,85,4,105.2,mungbean
Florida,Coral Springs,26°16′N 80°16′W / 26.27°N 80.26°W,January,65,42,65,73.56310211,80,6,50.3,jute
Texas,Midland,32°01′N 102°07′W / 32.02°N 102.11°W,January,80,56,81,59.08153025,65,7,92.4,mungbean
Oklahoma,Norman,35°14′N 97°21′W / 35.24°N 97.35°W,January,81,69,40,60.30527938,72,8,122.7,kidneybeans
Georgia,Athens,33°57′N 83°22′W / 33.95°N 83.37°W,January,92,69,56,77.11447283,77,7,69.4,blackgram
California,Santa Clara,37°22′N 121°58′W / 37.36°N 121.97°W,January,74,57,52,53.14066847,66,4,128.8,grapes
Missouri,Columbia,38°57′N 92°20′W / 38.95°N 92.33°W,January,88,49,60,69.89113993,85,3,127.3,muskmelon
North Dakota,Fargo,46°52′N 96°50′W / 46.86°N 96.83°W,January,79,52,55,58.90246961,76,3,85.6,kidneybeans
Texas,Pearland,29°34′N 95°19′W / 29.56°N 95.32°W,January,75,57,64,79.97178234,65,7,87.2,mungbean
California,Simi Valley,34°16′N 118°45′W / 34.27°N 118.75°W,January,67,85,41,65.24150142,84,5,133.8,apple
Idaho,Meridian,43°37′N 116°24′W / 43.61°N 116.40°W,January,88,48,53,57.2594542,78,8,48.4,orange
Kansas,Topeka,39°02′N 95°41′W / 39.03°N 95.69°W,January,79,66,79,74.49121592,74,7,133.7,blackgram
Pennsylvania,Allentown,40°35′N 75°29′W / 40.59°N 75.48°W,January,73,71,40,46.14672816,72,4,137.5,pigeonpeas
